ObjectID,bponOntEquipId,bponOntSerialNumber,bponOntSubscriberId1,bponOntSubscriberLocId,ifAdminStatus,ifOperStatus
R1.S1.LT1.PON2.ONT46,     00000G240WF,ALCLB2F6B83E,DID01_PBO14-F6,22558945,up,up
R1.S1.LT1.PON8.ONT40,NOCLEICODEG240WA,ALCLF8716040,,WILDCARD,up,up
R1.S1.LT1.PON10.ONT1,,ALCLF871549F,,WILDCARD,up,down
R1.S1.LT1.PON13.ONT2,NOCLEICODEG240WA,ALCLF87150CE,,WILDCARD,up,down
R1.S1.LT1.PON1.ONT44,     00000G240WF,ALCLB3CEFBED,ADIDO1_PBO3-F3,22250787,up,up
R1.S1.LT1.PON2.ONT43,     00000G240WF,ALCLB3BD3EF0,ADID01_PBO11-F4,22508928,up,down
R1.S1.LT1.PON10.ONT2,NOCLEICODEG240WA,ALCLF871509A,,WILDCARD,up,up
R1.S1.LT1.PON11.ONT1,NOCLEICODEG240WA,ALCLF8714EC2,,WILDCARD,up,up
R1.S1.LT1.PON2.ONT40,     00000G240WF,ALCLB2F6BA4F,ADIDO1_PBO15-F6,22502796,up,up
R1.S1.LT1.PON3.ONT43,,ALCLB3A5CEE4,,22258130,up,down
R1.S1.LT1.PON4.ONT46,     00000G240WF,ALCLB2F6B2B1,ADIDO2_PBO26-F3,22253648,up,down
R1.S1.LT1.PON5.ONT41,     00000G240WF,ALCLB3A5C38E,,22259760,up,up
R1.S1.LT1.PON7.ONT47,NOCLEICODEG010GA,ALCLB135109B,,WILDCARD,up,up
R1.S1.LT1.PON12.ONT9,,ALCLF8716FD7,,22253529 ,up,down
R1.S1.LT1.PON15.ONT2,,ALCLF8714DFF,,WILDCARD,up,down
R1.S1.LT1.PON3.ONT44,     00000G240WF,ALCLB3A5CEF6,,22515138,up,down
R1.S1.LT1.PON4.ONT43,     00000G240WF,ALCLB34599D7,,22500283,up,up
R1.S1.LT1.PON5.ONT42,     00000G240WF,ALCLB3A5C3E6,,22254519,up,up
