ObjectID,extendPortTotalDnDiscByteCounter,extendPortTotalDnFwdByteCounter,extendPortTotalUpDiscByteCounter,extendPortTotalUpFwdByteCounter,ifOperStatus
R1.S1.LT1.PON2.ONT17.C14.P1,0,0,0,0,down
R1.S1.LT1.PON5.ONT18.C14.P1,0,10680957246,0,1693670653,up
R1.S1.LT1.PON1.ONT15.C14.P1,0,1806050630666,1606,156109452610,up
R1.S1.LT1.PON2.ONT14.C14.P1,0,0,0,0,down
R1.S1.LT1.PON5.ONT19.C14.P1,0,10988011325343,0,768475021398,up
R1.S1.LT1.PON6.ONT18.C14.P1,0,5208805698728,0,304588669390,up
R1.S1.LT1.PON2.ONT15.C14.P1,0,428844987360,0,68508003749,down
R1.S1.LT1.PON3.ONT18.C14.P1,0,1861796030518,3374,256248808548,up
R1.S1.LT1.PON5.ONT16.C14.P1,0,45309876,0,129359764,down
R1.S1.LT1.PON6.ONT19.C14.P1,0,4152055691222,1222,417262307718,up
R1.S1.LT1.PON3.ONT19.C14.P1,0,0,0,0,down
R1.S1.LT1.PON4.ONT18.C14.P1,0,847545474240,816,53290080534,up
R1.S1.LT1.PON5.ONT17.C14.P1,0,11034927209800,11069,771644982464,up
R1.S1.LT1.PON6.ONT16.C14.P1,0,3476067507036,0,894981725441,up
R1.S1.LT1.PON3.ONT16.C14.P1,0,0,0,0,down
R1.S1.LT1.PON4.ONT19.C14.P1,0,1730033514512,26973,355827342752,up
R1.S1.LT1.PON5.ONT14.C14.P1,0,2238292309794,0,59062383965,up
R1.S1.LT1.PON6.ONT17.C14.P1,0,1872911784294,632,123700164453,up
R1.S1.LT1.PON3.ONT17.C14.P1,0,118265566535,55134,15996828810,down
R1.S1.LT1.PON4.ONT16.C14.P1,0,4242319952594,0,489564330877,up
R1.S1.LT1.PON5.ONT15.C14.P1,0,0,0,0,down
R1.S1.LT1.PON6.ONT14.C14.P1,0,313127660466,0,25417664455,down
R1.S1.LT1.PON9.ONT56.C14.P1,0,5457360359180,2528,484272904803,up
R1.S1.LT1.PON9.ONT57.C14.P1,0,1619147403450,1896,167614245300,up
R1.S1.LT1.PON7.ONT56.C14.P1,0,343697402305,0,24682699569,up
R1.S1.LT1.PON9.ONT54.C14.P1,0,5517633521349,0,562132335926,up
R1.S1.LT1.PON7.ONT57.C14.P1,0,19688888,0,109392850,up
R1.S1.LT1.PON8.ONT56.C14.P1,0,152260706468,0,225949496842,up
R1.S1.LT1.PON9.ONT55.C14.P1,0,1596690813211,316,229509314401,up
R1.S1.LT1.PON7.ONT54.C14.P1,0,737182610911,0,31280759203,up
R1.S1.LT1.PON8.ONT57.C14.P1,0,45869813101,0,2678403007,down
R1.S1.LT1.PON9.ONT52.C14.P1,0,7007171461826,316,785985383818,up
R1.S1.LT1.PON7.ONT55.C14.P1,0,59305274156,0,70339909679,up
R1.S1.LT1.PON8.ONT54.C14.P1,0,10556930666,0,398536481,down
R1.S1.LT1.PON9.ONT53.C14.P1,0,2919430321360,316,306493044368,up
R1.S1.LT1.PON7.ONT52.C14.P1,0,1168015889414,0,95441822651,up
R1.S1.LT1.PON8.ONT55.C14.P1,0,123449527686,0,7735056051,up
R1.S1.LT1.PON9.ONT50.C14.P1,0,3400159761808,4264,196695588252,up
R1.S1.LT1.PON7.ONT53.C14.P1,0,2750226701776,0,177673885035,up
R1.S1.LT1.PON8.ONT52.C14.P1,0,1960187580669,0,111488158595,down
R1.S1.LT1.PON9.ONT51.C14.P1,0,895039903291,1580,186403431182,up
R1.S1.LT1.PON7.ONT50.C14.P1,0,0,0,0,down
R1.S1.LT1.PON8.ONT53.C14.P1,0,1720097561806,0,338246808230,up
R1.S1.LT1.PON2.ONT56.C14.P1,0,9262592656,0,228560689,up
R1.S1.LT1.PON7.ONT51.C14.P1,0,24619858745795,0,2320943457699,up
R1.S1.LT1.PON8.ONT50.C14.P1,0,2643702519107,0,156006442312,up
R1.S1.LT1.PON8.ONT51.C14.P1,0,2978820077129,316,180773199346,up
R1.S1.LT1.PON2.ONT54.C14.P1,0,62683173984,0,5565156939,up
R1.S1.LT1.PON16.ONT59.C1.P1,0,0,0,0,down
R1.S1.LT1.PON9.ONT45.C14.P1,0,12568910998326,0,1057245846147,up
R1.S1.LT1.PON9.ONT46.C14.P1,0,899283715820,0,77530419775,up
R1.S1.LT1.PON7.ONT45.C14.P1,0,929520309936,0,100976838628,up
